 Units of measure: Mols m-2 d-1
 Month;Alt;Azi;Altitude;Azimuth; SkySky;SkyTop;FolTop;FolSky;Total ;Sky   ;  Mask;    Total;   Gap Can; Gap Topo;Gap Both;Gap Can; Gap Topo;Gap Both;Canopy  ;Site    ;Id_UOC ; Id_SOC;  Above ;  Above  ; Above ;  Mask  ;  Mask   ; Mask ;   Trans ;  Trans  ; Trans
      ;Bin;Bin;        ;       ; Pixels;Pixels;Pixels;Pixels;Pixels;Area  ;  Area;    Area ;   Diffuse; Diffuse ;Diffuse ;Direct ; Direct  ;Direct  ;Openness;Openness;       ;       ;  Direct;  Diffuse; Total ;  Direct;  Diffuse; Total;   Direct;  Diffuse; Total
 All;  1; 75;  1.0000;298.0000;    20;     0;     0;     0;    20;0.000388;0.000000;0.000388;1.000000;1.000000;1.000000;1.000000;0.999952;0.999952;0.038777;0.038777;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000207;0.000207;0.000000;0.000207;0.000207
 All;  1; 76;  1.0000;302.0000;    20;     0;     0;     0;    20;0.000388;0.000000;0.000388;1.000000;1.000000;1.000000;1.000000;0.999935;0.999935;0.038777;0.038777;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000207;0.000207;0.000000;0.000207;0.000207
 All;  1; 77;  1.0000;306.0000;    22;     2;     0;     0;    24;0.000355;0.000032;0.000388;1.000000;0.916667;0.916667;1.000000;1.000000;1.000000;0.038777;0.035546;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000190;0.000190;0.000000;0.000190;0.000190
 All;  1; 78;  1.0000;310.0000;    24;     0;     0;     0;    24;0.000388;0.000000;0.000388;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.038777;0.038777;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000207;0.000207;0.000000;0.000207;0.000207
 All;  1; 79;  1.0000;314.0000;    21;     0;     0;     0;    21;0.000388;0.000000;0.000388;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.038777;0.038777;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000207;0.000207;0.000000;0.000207;0.000207
 All;  1; 80;  1.0000;318.0000;    20;     0;     0;     0;    20;0.000388;0.000000;0.000388;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.038777;0.038777;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000207;0.000207;0.000000;0.000207;0.000207
 All;  1; 81;  1.0000;322.0000;    19;     1;     0;     0;    20;0.000368;0.000019;0.000388;1.000000;0.950000;0.950000;1.000000;1.000000;1.000000;0.038777;0.036838;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000197;0.000197;0.000000;0.000197;0.000197
 All;  1; 82;  1.0000;326.0000;    19;     1;     0;     0;    20;0.000368;0.000019;0.000388;1.000000;0.950000;0.950000;1.000000;1.000000;1.000000;0.038777;0.036838;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000197;0.000197;0.000000;0.000197;0.000197
 All;  1; 83;  1.0000;330.0000;    20;     1;     0;     0;    21;0.000369;0.000018;0.000388;1.000000;0.952381;0.952381;1.000000;1.000000;1.000000;0.038777;0.036931;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000197;0.000197;0.000000;0.000197;0.000197
 All;  1; 84;  1.0000;334.0000;    19;     1;     0;     0;    20;0.000368;0.000019;0.000388;1.000000;0.950000;0.950000;1.000000;1.000000;1.000000;0.038777;0.036838;0.000014;0.000006;0.000000;0.000207;0.000207;0.000000;0.000197;0.000197;0.000000;0.000197;0.000197
